"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-19.5462432302584,2.78671434902342,-19.5350860967146,2.78344814352197
"year t",0,0,0,0,-19.5715841310175,2.54389154001072,-19.5359483903797,2.53646788585204
"year t-1",0,0,0,0,-20.585872864075,2.6102225127185,-20.5441695165928,2.60147625972901
"year t-2",0,0,0,0,-14.0397891318525,2.83689152855664,-14.0092274546049,2.83060274037848
"move-win (gaussian)",0,0,0,0,-17.251420585552,2.71288881400119,-17.183194613875,2.7052267395512
"move-win (dirichlet)",0,0,0,0,-18.5569164518711,2.81429876211215,-18.2880242060409,2.74691781514705
"move-win-nest (gaussian)",0,0,0,0,-14.1754137795151,2.6217726481313,-14.0532572637041,2.60287450806525
"move-win-nest (dirichlet)",0,0,0,0,-17.4227875063291,2.48643624352152,-17.1256921591807,2.44508459390535
"move-beta (hier)",0,0,0,0,-18.405450139803,2.90577270924696,-18.0960609685746,2.83093583755395
"move-beta (gprc)",0,0,0,0,-19.0965965401514,2.53167350550228,-18.0829915664108,2.32714395200895
"move-beta-nest (hier)",0,0,0,0,-16.4781544161954,2.56975527116061,-16.2529512361756,2.52603282569634
"move-beta-nest (gprc)",0,0,0,0,-14.9002078983588,2.57456557761623,-14.676728049171,2.54538044083372
