"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-13.9071017874937,2.70245645440418,-13.8966917826701,2.69898110468779
"year t",0,0,0,0,-14.7943244804864,2.56651355859111,-14.7676993906699,2.56069482151917
"year t-1",0,0,0,0,-14.2504059092339,4.25342598456327,-14.1865859720085,4.21220363844587
"year t-2",0,0,0,0,-15.0123852623211,2.70064734721739,-14.9693601607573,2.68764177401264
"move-win (gaussian)",0,0,0,0,-13.9986005945812,2.88588632419922,-13.9595842018325,2.87357123295242
"move-win (dirichlet)",0,0,0,0,-14.4431778526616,2.91736341737889,-14.2589218079114,2.8706671843025
"move-win-nest (gaussian)",0,0,0,0,-14.5906877631905,3.06116521691587,-14.4660097935928,3.00479873333329
"move-win-nest (dirichlet)",0,0,0,0,-14.650900732721,2.90572669257721,-14.5146602812632,2.86079418674593
"move-beta (hier)",0,0,0,0,-15.4753116991424,3.03578232798756,-14.9967304909211,2.9083080230951
"move-beta (gprc)",0,0,0,1,-17.1282705010144,3.30309190731827,-16.2629296579234,3.05964400391056
"move-beta-nest (hier)",0,0,0,0,-15.5361648157621,2.95901428196866,-15.2510304143816,2.88987252039352
"move-beta-nest (gprc)",0,0,0,4,-15.7440652806092,2.84558835694057,-15.5520770029294,2.80231003699198
