"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-33.6373107069834,3.11307615340721,-33.6245611631591,3.10969645307566
"year t",0,0,0,0,-33.844454209183,3.13374349767991,-33.8078601113772,3.12325828482844
"year t-1",0,0,0,0,-34.8924479208748,3.14711667378232,-34.8356531198558,3.12874218612278
"year t-2",0,0,0,0,-34.8922800580258,3.34532565077521,-34.8147414361965,3.31030124589296
"move-win (gaussian)",0,0,0,0,-34.7550273145228,3.14907343723855,-34.6696842460334,3.12593542211942
"move-win (dirichlet)",0,0,0,0,-34.5330366501214,3.09487694424797,-34.4462382424331,3.0763143418103
"move-win-nest (gaussian)",0,0,0,0,-34.7306427936056,3.11317259397403,-34.6549621640203,3.09206573357357
"move-win-nest (dirichlet)",0,0,0,0,-34.6006735632314,3.08077473957318,-34.4662807319157,3.05170876118204
"move-beta (hier)",0,0,0,0,-35.1262353504514,2.96607197784471,-34.280109260812,2.81831928709306
"move-beta (gprc)",0,0,0,0,-35.3427160001096,2.9730699218135,-35.0023646466719,2.90424711866368
"move-beta-nest (hier)",0,0,0,0,-35.166782810951,3.03784264426193,-34.4973935313437,2.90857709043488
"move-beta-nest (gprc)",0,0,0,6,-35.3578101204649,2.97205997138711,-35.087072224793,2.92316642350959
