"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-29.7239638165743,3.80312153866993,-29.7007103414141,3.79435786282063
"year t",0,0,0,0,-29.8850073794109,3.7788832601067,-29.8399357515745,3.76509482593982
"year t-1",0,0,0,0,-30.0271239276838,3.55540020978281,-29.9865208724288,3.54454633927614
"year t-2",0,0,0,0,-30.949193482692,3.73087889461366,-30.8884043664252,3.71411741820216
"move-win (gaussian)",0,0,0,0,-29.5502884510723,3.62545369765448,-29.4993402483163,3.61062677565105
"move-win (dirichlet)",0,0,0,0,-29.9898220529593,3.60182850096137,-29.8797136681927,3.57510957468962
"move-win-nest (gaussian)",0,0,0,0,-29.9504545849928,3.59214859903723,-29.8635493075392,3.57523947799238
"move-win-nest (dirichlet)",0,0,0,0,-30.2962060521746,3.66966827722204,-30.1871447022385,3.64234807704569
"move-beta (hier)",0,0,0,0,-30.4718521742962,3.59560764836186,-30.1797789962572,3.53377055800034
"move-beta (gprc)",0,0,0,0,-31.5211399977018,3.66360322407722,-31.0750189499387,3.56003216355762
"move-beta-nest (hier)",0,0,0,0,-31.2847831540687,3.83671790574526,-30.9526311422844,3.72848789558353
"move-beta-nest (gprc)",0,0,0,1,-31.1765252284788,3.55768154247757,-31.0013629018241,3.52117709233718
