"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-46.825249998192,4.41350585654924,-46.771622085115,4.37911481358871
"year t",0,0,0,0,-47.7906144892957,4.24974465951913,-47.7381464753872,4.23359649708461
"year t-1",0,0,0,0,-47.3729983381307,4.50294019933217,-47.3149545684391,4.47476672877398
"year t-2",0,0,0,0,-47.6847650787228,4.69624429413392,-47.5866590570906,4.63743801469964
"move-win (gaussian)",0,0,0,0,-47.6094781622565,4.30106178794139,-47.5384289770879,4.26978642939101
"move-win (dirichlet)",0,0,0,0,-47.4326455294171,4.22000917210064,-47.3351889347287,4.19397178560246
"move-win-nest (gaussian)",0,0,0,0,-47.7651485980926,4.39535035090688,-47.6431442317673,4.35763376731208
"move-win-nest (dirichlet)",0,0,0,0,-47.8788401885963,4.58773903215407,-47.6103114870422,4.44840051042623
"move-beta (hier)",0,0,0,0,-36.8829532338379,2.87542100544938,-33.783579037654,2.61505772187078
"move-beta (gprc)",0,0,0,0,-41.0800190023473,3.93329798454157,-39.0430929421315,3.85840432455302
"move-beta-nest (hier)",0,0,0,0,-45.9342882567456,4.51812829634754,-45.3291631104143,4.3975677733832
"move-beta-nest (gprc)",0,0,0,0,-45.3539070617945,5.00926684763579,-44.8369579232023,4.8181518482102
