"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-33.6455571396721,3.67708623825095,-33.6029868923707,3.65583546709617
"year t",0,0,0,0,-33.3722731715197,3.81263929633418,-33.3237980917455,3.79783731864377
"year t-1",0,0,0,0,-34.9111596502839,3.97923731318509,-34.8219173078691,3.93546996567164
"year t-2",0,0,0,0,-33.9214375112028,4.06056734907691,-33.7991834437307,4.00617731239388
"move-win (gaussian)",0,0,0,0,-33.8633937618093,3.66591647846445,-33.7956156683206,3.63758936551319
"move-win (dirichlet)",0,0,0,0,-33.8282411407195,3.67136954274243,-33.6875447083647,3.63303568074039
"move-win-nest (gaussian)",0,0,0,0,-34.0239562790319,3.93519887668948,-33.847774574436,3.85617126998211
"move-win-nest (dirichlet)",0,0,0,0,-33.9241183887467,3.74087131733088,-33.7357819983412,3.68516237903411
"move-beta (hier)",0,0,0,0,-34.1612549554129,3.40950422748266,-33.4417552788662,3.31961297694505
"move-beta (gprc)",0,0,0,0,-34.9634582962586,3.96830441653501,-34.3859054720448,3.76932260428012
"move-beta-nest (hier)",0,0,0,0,-35.2435689824529,3.74545155082973,-34.6302887496182,3.60208843752394
"move-beta-nest (gprc)",0,0,0,0,-34.7836068423209,3.83179709048945,-34.5154711614327,3.74216675847507
