"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-14.0655304851328,2.69769799337129,-14.0545384723597,2.69421200207068
"year t",0,0,0,0,-14.1816743802259,2.72516065618532,-14.1458453358917,2.71519312733141
"year t-1",0,0,0,0,-14.9179559476126,2.69215793085514,-14.8644400965408,2.67751589355981
"year t-2",0,0,0,0,-15.0951564123355,2.58870640996802,-15.0678263289165,2.58400234721095
"move-win (gaussian)",0,0,0,0,-14.7449527706826,2.63500461846027,-14.6964062848624,2.62345190302853
"move-win (dirichlet)",0,0,0,0,-14.8283671102513,2.7524280813136,-14.7452332910165,2.72881990590047
"move-win-nest (gaussian)",0,0,0,0,-14.8276156312767,2.6874356491507,-14.7583780541428,2.66986227885743
"move-win-nest (dirichlet)",0,0,0,0,-14.7552544123176,2.67785588521071,-14.6564882358466,2.65758350356927
"move-beta (hier)",0,0,0,0,-14.1069796342146,2.96531616204888,-12.8225404904486,2.69344519353563
"move-beta (gprc)",0,0,0,3,-14.8109198205907,3.02744950471492,-13.8839679145989,2.827518713459
"move-beta-nest (hier)",0,0,0,0,-15.3937204218221,2.66351505392039,-14.8940058646954,2.5724784706091
"move-beta-nest (gprc)",0,0,0,0,-15.5994560419733,2.67592474414467,-15.3191251529615,2.63015630990548
