"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-33.7086112090595,3.12204243773222,-33.6981551538884,3.11931968153711
"year t",0,0,0,0,-34.2806303221373,3.07428766056372,-34.2458293580806,3.06678100296613
"year t-1",0,0,0,0,-34.8187157501038,3.12539990778534,-34.7624712054141,3.10993282998406
"year t-2",0,0,0,0,-35.0305684726095,3.25275105836378,-34.9571564187218,3.23149801770955
"move-win (gaussian)",0,0,0,0,-34.569883949269,3.13578323489272,-34.5347549777606,3.12748573298708
"move-win (dirichlet)",0,0,0,0,-34.5680052846928,3.09043676720652,-34.5098698606051,3.07708317798345
"move-win-nest (gaussian)",0,0,0,0,-34.5690606120581,3.07613059643021,-34.5162736365155,3.0635882026505
"move-win-nest (dirichlet)",0,0,0,0,-34.6237753305816,3.11752758129922,-34.5622132706766,3.10369307761309
"move-beta (hier)",0,0,0,0,-35.4184885300262,2.98926195451402,-35.1382448486189,2.94082745718571
"move-beta (gprc)",0,0,0,1,-35.8205057910842,3.02129330173344,-35.5410908133994,2.95035151111905
"move-beta-nest (hier)",0,0,0,0,-35.5459955127758,3.05916762398067,-35.3625338813892,3.01866809197994
"move-beta-nest (gprc)",0,0,0,5,-35.669124210534,3.00759809223283,-35.5090176478083,2.96889388776419
