"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-32.2186546097508,3.93307339275335,-32.2089209215927,3.93016600848488
"year t",0,0,0,0,-33.1354256251737,3.94382023219208,-33.0893317475816,3.92869066169251
"year t-1",0,0,0,0,-32.9135746825283,3.96717926652867,-32.8747194066488,3.95587986773282
"year t-2",0,0,0,0,-33.5359983370406,4.15484163319316,-33.4690595354658,4.12545099559781
"move-win (gaussian)",0,0,0,0,-33.0370872870809,3.89832557997534,-32.9805544791136,3.87855994716932
"move-win (dirichlet)",0,0,0,0,-33.081786108407,3.92439836110532,-33.0127841126255,3.90292312835636
"move-win-nest (gaussian)",0,0,0,0,-33.0276405659948,3.9184527572805,-32.9724621540472,3.89905269629286
"move-win-nest (dirichlet)",0,0,0,0,-33.2152310845739,3.93607288857382,-33.145869575948,3.91515476197168
"move-beta (hier)",0,0,0,0,-33.9339146346335,3.8922390785006,-33.5909801772899,3.82547254326898
"move-beta (gprc)",0,0,0,2,-34.4244491788114,3.98250627683325,-34.0741278823555,3.90250983348317
"move-beta-nest (hier)",0,0,0,0,-34.1180206366395,4.08201275490044,-33.787178699032,3.97285909713244
"move-beta-nest (gprc)",0,0,0,2,-34.2326665723424,3.93224680893719,-34.0374945123542,3.86677836277181
