"model","rhat_high","n_eff_low","mcse_high","n_diverg","elpd_loo","elpd_loo_se","elpd_waic","elpd_waic_se"
"null",0,0,0,0,-33.535846111697,3.68514876142847,-33.4959646785059,3.66514383715847
"year t",0,0,0,0,-34.511681566261,3.44784407406952,-34.4668533244952,3.4359003399252
"year t-1",0,0,0,0,-33.9035160282821,3.49225248289274,-33.8517100294641,3.47280817918569
"year t-2",0,0,0,0,-33.9485035905042,3.48572370923669,-33.8765233390353,3.45856314163383
"move-win (gaussian)",0,0,0,0,-33.9256661480864,3.36006318128714,-33.8577809018345,3.33595002041676
"move-win (dirichlet)",0,0,0,0,-33.9581305746179,3.29223935446107,-33.8850424393856,3.27007329050202
"move-win-nest (gaussian)",0,0,0,0,-33.9024628773236,3.28084582487559,-33.8539223684986,3.2673855662738
"move-win-nest (dirichlet)",0,0,0,0,-34.0580380206199,3.40481796949052,-33.9833389019524,3.38507070901273
"move-beta (hier)",0,0,0,0,-34.8007803882879,3.20554674932511,-34.3948511539013,3.13612271686306
"move-beta (gprc)",0,0,0,0,-35.157505238194,3.13862189724728,-34.7293492861775,3.04578691592264
"move-beta-nest (hier)",0,0,0,0,-35.1426490533652,3.55202618478177,-34.8172949095966,3.43035464028003
"move-beta-nest (gprc)",0,0,0,0,-34.9003294415165,3.23479743730854,-34.730836222245,3.19536625821114
