YEAR,  JAN ,  FEB ,  MAR ,  APR ,  MAY ,  JUN ,  JUL ,  AUG ,  SEP ,  OCT ,  NOV ,  DEC 
1893,2.78,NA,6.06,13.39,17.78,22.06,23.39,21.22,20.83,12.11,3.61,2.44
1894,-3.22,-4.56,7.00,14.44,18.00,23.33,25.78,24.00,18.00,13.94,4.72,-0.22
1895,-6.56,-5.78,5.50,12.33,17.06,20.89,22.22,22.56,21.61,10.67,3.00,-0.89
1896,0.22,2.39,1.11,11.89,20.11,25.11,26.44,26.33,NA,12.11,3.11,6.89
1896,NA,NA,NA,NA,NA,NA,NA,NA,19.06,NA,NA,NA
1897,3.06,3.44,9.56,13.67,18.89,23.78,26.11,25.89,23.22,17.00,7.00,NA
1898,NA,NA,3.33,10.89,15.11,22.56,25.06,25.56,19.56,11.22,2.89,-1.83
1899,-1.11,-6.78,NA,11.22,18.11,22.33,NA,26.67,20.89,15.44,8.56,1.22
1900,1.89,-2.00,7.33,11.33,17.28,23.22,25.50,27.44,20.67,15.67,4.67,1.11
1901,NA,-4.28,4.11,10.44,15.94,24.78,29.44,26.56,19.56,14.33,5.72,0.50
1902,-1.00,-1.89,7.89,11.56,19.56,20.44,24.00,25.33,17.39,13.67,5.78,-3.83
1903,-0.44,-4.44,3.72,11.33,15.44,18.39,24.89,23.50,17.89,13.44,4.22,0.78
1904,-2.44,-1.56,6.78,9.72,15.11,19.28,NA,NA,NA,NA,NA,NA
1906,1.11,2.00,-0.06,13.67,18.00,21.22,22.50,24.22,20.22,11.11,4.44,2.33
1907,-2.56,1.83,9.89,7.28,13.44,21.33,25.00,24.61,20.50,13.44,4.44,-0.89
1908,1.44,2.11,7.39,12.22,16.56,21.72,24.00,24.11,20.78,12.06,5.39,1.50
1909,-2.56,1.33,4.56,10.22,16.22,22.11,25.33,25.89,19.67,12.56,7.61,-6.11
1910,-2.56,-1.56,12.00,12.44,14.00,21.61,26.33,23.22,20.00,15.39,5.94,0.56
1911,0.33,1.06,8.22,10.78,17.67,26.00,25.56,24.06,22.11,11.89,2.72,-2.67
1912,-7.67,-0.22,-1.44,11.56,17.56,19.56,26.22,25.17,18.39,13.22,6.39,1.28
1913,-16.33,-4.17,3.89,11.89,18.33,22.67,27.78,28.22,19.22,11.00,7.56,0.56
1914,3.17,-2.00,5.44,11.39,16.67,25.00,26.00,25.17,21.83,13.44,8.11,-6.78
1915,-2.06,2.44,-0.89,13.67,14.67,19.22,22.56,20.44,19.28,13.89,7.33,0.56
1916,-5.00,-0.67,8.33,9.56,16.06,20.28,26.89,26.11,18.72,13.56,5.00,-3.67
1917,-1.17,-0.22,5.11,10.00,13.44,22.33,27.11,22.44,20.11,9.33,7.61,-17.78
1918,-17.78,2.28,9.00,8.00,18.39,25.11,24.89,27.17,17.78,15.50,5.44,1.89
1919,0.33,-0.44,6.50,10.67,15.56,21.61,26.89,25.56,22.22,10.61,2.94,-2.83
1920,-0.11,2.00,6.67,8.67,16.50,22.50,26.11,22.50,20.67,15.56,3.89,0.33
1921,2.00,3.89,8.89,12.33,18.11,22.67,26.11,26.22,23.22,15.11,4.89,-0.06
1922,-3.67,-1.61,5.61,12.44,17.28,23.22,24.83,27.00,23.61,14.78,7.56,1.17
1923,2.67,-1.06,4.67,12.44,15.83,22.56,26.22,25.50,20.61,10.39,6.78,1.61
1924,-3.78,1.72,1.33,12.33,13.78,23.22,24.89,26.83,18.44,15.11,6.72,-4.78
